pose_id,pose_name,pose_family,stl_file,bone_coordinates_csv,mask_file,mask_shape,mask_dtype,mask_nonzero_voxels,stl_size_bytes,mask_size_bytes
61,pose_left_arm_71.7deg,left_arm_only,poses/61.stl,poses/61.csv,numpy_masks_poses/61_mask.npy,63x184x85,float32,86669,4082334,3941408
62,pose_two_arms_71.7deg,two_arms,poses/62.stl,poses/62.csv,numpy_masks_poses/62_mask.npy,63x184x85,float32,99630,4082334,3941408
63,pose_right_arm_73.9deg,right_arm_only,poses/63.stl,poses/63.csv,numpy_masks_poses/63_mask.npy,63x184x85,float32,90855,4082334,3941408
64,pose_left_arm_73.9deg,left_arm_only,poses/64.stl,poses/64.csv,numpy_masks_poses/64_mask.npy,63x184x85,float32,86659,4082334,3941408
65,pose_two_arms_73.9deg,two_arms,poses/65.stl,poses/65.csv,numpy_masks_poses/65_mask.npy,63x184x85,float32,99440,4082334,3941408
66,pose_right_arm_76.1deg,right_arm_only,poses/66.stl,poses/66.csv,numpy_masks_poses/66_mask.npy,63x184x85,float32,90791,4082334,3941408
67,pose_left_arm_76.1deg,left_arm_only,poses/67.stl,poses/67.csv,numpy_masks_poses/67_mask.npy,63x184x85,float32,86544,4082334,3941408
68,pose_two_arms_76.1deg,two_arms,poses/68.stl,poses/68.csv,numpy_masks_poses/68_mask.npy,63x184x85,float32,99411,4082334,3941408
69,pose_right_arm_78.3deg,right_arm_only,poses/69.stl,poses/69.csv,numpy_masks_poses/69_mask.npy,63x184x85,float32,90821,4082334,3941408
70,pose_left_arm_78.3deg,left_arm_only,poses/70.stl,poses/70.csv,numpy_masks_poses/70_mask.npy,63x184x85,float32,86501,4082334,3941408
71,pose_two_arms_78.3deg,two_arms,poses/71.stl,poses/71.csv,numpy_masks_poses/71_mask.npy,63x184x85,float32,101354,4082334,3941408
72,pose_right_arm_80.6deg,right_arm_only,poses/72.stl,poses/72.csv,numpy_masks_poses/72_mask.npy,63x184x85,float32,92924,4082334,3941408
73,pose_left_arm_80.6deg,left_arm_only,poses/73.stl,poses/73.csv,numpy_masks_poses/73_mask.npy,63x184x85,float32,85848,4082334,3941408
74,pose_two_arms_80.6deg,two_arms,poses/74.stl,poses/74.csv,numpy_masks_poses/74_mask.npy,63x184x85,float32,101104,4082334,3941408
75,pose_right_arm_82.8deg,right_arm_only,poses/75.stl,poses/75.csv,numpy_masks_poses/75_mask.npy,63x184x85,float32,93027,4082334,3941408
76,pose_left_arm_82.8deg,left_arm_only,poses/76.stl,poses/76.csv,numpy_masks_poses/76_mask.npy,63x184x85,float32,83025,4082334,3941408
77,pose_two_arms_82.8deg,two_arms,poses/77.stl,poses/77.csv,numpy_masks_poses/77_mask.npy,63x184x85,float32,101083,4082334,3941408
78,pose_right_arm_85.0deg,right_arm_only,poses/78.stl,poses/78.csv,numpy_masks_poses/78_mask.npy,63x184x85,float32,92379,4082334,3941408
79,pose_left_arm_85.0deg,left_arm_only,poses/79.stl,poses/79.csv,numpy_masks_poses/79_mask.npy,63x184x85,float32,83123,4082334,3941408
80,pose_two_arms_85.0deg,two_arms,poses/80.stl,poses/80.csv,numpy_masks_poses/80_mask.npy,63x184x85,float32,100744,4082334,3941408
81,pose_arm_0.0deg,both_arm_or_forearm_sweep,poses/81.stl,poses/81.csv,numpy_masks_poses/81_mask.npy,63x184x85,float32,125830,4082334,3941408
82,pose_arm_3.3deg,both_arm_or_forearm_sweep,poses/82.stl,poses/82.csv,numpy_masks_poses/82_mask.npy,63x184x85,float32,127816,4082334,3941408
83,pose_arm_6.7deg,both_arm_or_forearm_sweep,poses/83.stl,poses/83.csv,numpy_masks_poses/83_mask.npy,63x184x85,float32,127993,4082334,3941408
84,pose_arm_10.0deg,both_arm_or_forearm_sweep,poses/84.stl,poses/84.csv,numpy_masks_poses/84_mask.npy,63x184x85,float32,129126,4082334,3941408
85,pose_arm_13.3deg,both_arm_or_forearm_sweep,poses/85.stl,poses/85.csv,numpy_masks_poses/85_mask.npy,63x184x85,float32,129188,4082334,3941408
